,wild_time,mutant_time
0,25.0,26.0
1,52.0,60.0
2,41.0,42.0
3,28.0,28.0
4,103.0,108.0
5,99.0,52.0
6,10.0,10.0
7,28.0,30.0
8,26.0,27.0
9,27.0,28.0
10,89.0,94.0
11,70.0,95.0
12,39.0,41.0
13,3436.0,10000.0
14,53.0,56.0
15,12.0,12.0
16,41.0,43.0
17,124.0,136.0
18,12.0,12.0
19,70.0,74.0
20,26.0,27.0
21,10.0,10.0
22,74.0,103.0
23,12.0,12.0
24,50.0,53.0
25,25.0,27.0
26,117.0,121.0
27,84.0,155.0
28,132.0,185.0
29,26.0,27.0
30,12.0,12.0
31,78.0,150.0
32,71.0,74.0
33,93.0,110.0
34,26.0,27.0
35,10.0,10.0
36,29.0,32.0
37,39.0,42.0
38,145.0,149.0
39,11.0,11.0
40,128.0,194.0
41,12.0,12.0
42,27.0,28.0
43,27.0,28.0
44,28.0,29.0
45,11.0,11.0
46,202.0,219.0
47,12.0,13.0
48,81.0,82.0
49,10.0,10.0
50,12.0,12.0
51,330.0,103.0
52,201.0,217.0
53,107.0,105.0
54,125.0,130.0
55,120.0,132.0
56,25.0,26.0
57,384.0,209.0
58,65.0,68.0
59,23.0,24.0
60,41.0,42.0
61,279.0,123.0
62,175.0,217.0
63,15.0,15.0
64,165.0,180.0
65,13.0,14.0
66,26.0,27.0
67,38.0,40.0
68,15.0,15.0
69,59.0,61.0
70,96.0,76.0
71,306.0,310.0
72,44.0,46.0
73,12.0,12.0
74,307.0,228.0
75,12.0,12.0
76,144.0,206.0
77,26.0,27.0
78,47.0,49.0
79,81.0,84.0
80,231.0,172.0
81,27.0,29.0
82,344.0,192.0
83,26.0,27.0
84,43.0,44.0
85,10.0,10.0
86,12.0,13.0
87,27.0,28.0
88,107.0,111.0
89,49.0,52.0
90,28.0,30.0
91,86.0,181.0
92,83.0,86.0
93,30.0,32.0
94,70.0,78.0
95,26.0,27.0
96,12.0,12.0
97,194.0,280.0
98,53.0,55.0
99,73.0,91.0
100,64.0,114.0
101,194.0,343.0
102,38.0,40.0
103,26.0,27.0
104,38.0,40.0
105,186.0,539.0
106,134.0,140.0
107,23.0,24.0
108,194.0,227.0
109,120.0,125.0
110,67.0,71.0
111,80.0,85.0
112,79.0,57.0
113,26.0,27.0
114,127.0,175.0
115,26.0,27.0
116,59.0,58.0
117,24.0,25.0
118,25.0,27.0
119,10000.0,10000.0
120,10000.0,124.0
121,12.0,12.0
122,46.0,42.0
123,25.0,26.0
124,37.0,41.0
125,12.0,12.0
126,42.0,42.0
127,227.0,47.0
128,27.0,28.0
129,145.0,141.0
130,184.0,304.0
131,81.0,84.0
132,39.0,51.0
133,27.0,28.0
134,247.0,168.0
135,25.0,27.0
136,12.0,12.0
137,26.0,27.0
138,45.0,47.0
139,27.0,28.0
140,194.0,238.0
141,233.0,135.0
142,120.0,152.0
143,27.0,28.0
144,11.0,12.0
145,46.0,47.0
146,12.0,12.0
147,25.0,26.0
148,174.0,226.0
149,63.0,73.0
150,49.0,50.0
151,13.0,13.0
152,24.0,25.0
153,12.0,12.0
154,66.0,69.0
155,27.0,28.0
156,195.0,107.0
157,45.0,49.0
158,90.0,66.0
159,47.0,49.0
160,161.0,89.0
161,13.0,14.0
162,248.0,289.0
163,12.0,13.0
164,26.0,27.0
165,84.0,186.0
166,12.0,12.0
167,29.0,30.0
168,48.0,50.0
169,12.0,12.0
170,37.0,39.0
171,84.0,102.0
172,273.0,174.0
173,26.0,28.0
174,103.0,108.0
175,11.0,11.0
176,24.0,25.0
177,25.0,26.0
178,106.0,77.0
179,74.0,180.0
180,25.0,26.0
181,42.0,44.0
182,49.0,49.0
183,26.0,28.0
184,81.0,84.0
185,113.0,196.0
186,256.0,422.0
187,24.0,25.0
188,37.0,39.0
189,26.0,28.0
190,14.0,15.0
191,202.0,197.0
192,27.0,28.0
193,130.0,130.0
194,106.0,125.0
195,100.0,105.0
196,12.0,12.0
197,109.0,142.0
198,152.0,158.0
199,12.0,12.0
200,111.0,115.0
201,12.0,12.0
202,27.0,28.0
203,10.0,10.0
204,30.0,31.0
205,51.0,52.0
206,40.0,42.0
207,144.0,151.0
208,57.0,59.0
209,120.0,120.0
210,162.0,199.0
211,54.0,37.0
212,10.0,10.0
213,11.0,11.0
214,26.0,28.0
215,27.0,28.0
216,12.0,12.0
217,10000.0,10000.0
218,23.0,24.0
219,12.0,12.0
220,64.0,68.0
221,349.0,275.0
222,53.0,56.0
223,12.0,13.0
224,46.0,49.0
225,119.0,147.0
226,87.0,10000.0
227,25.0,26.0
228,50.0,45.0
229,16.0,17.0
