,m,survival_time
0,-0.3,11
1,-0.29,11
2,-0.27999999999999997,11
3,-0.26999999999999996,11
4,-0.25999999999999995,11
5,-0.24999999999999994,11
6,-0.23999999999999994,11
7,-0.22999999999999993,11
8,-0.21999999999999992,11
9,-0.2099999999999999,11
10,-0.1999999999999999,11
11,-0.1899999999999999,11
12,-0.17999999999999988,11
13,-0.16999999999999987,11
14,-0.15999999999999986,11
15,-0.14999999999999986,11
16,-0.13999999999999985,11
17,-0.12999999999999984,11
18,-0.11999999999999983,11
19,-0.10999999999999982,11
20,-0.09999999999999981,11
21,-0.0899999999999998,11
22,-0.0799999999999998,11
23,-0.06999999999999978,11
24,-0.059999999999999776,11
25,-0.04999999999999977,11
26,-0.03999999999999976,11
27,-0.02999999999999975,12
28,-0.01999999999999974,24
29,-0.009999999999999731,10000
30,2.7755575615628914e-16,10000
31,0.010000000000000286,10000
32,0.020000000000000295,10000
33,0.030000000000000304,10000
34,0.04000000000000031,10000
35,0.05000000000000032,10000
36,0.06000000000000033,10000
37,0.07000000000000034,10000
38,0.08000000000000035,10000
39,0.09000000000000036,10000
40,0.10000000000000037,10000
41,0.11000000000000038,10000
42,0.12000000000000038,10000
43,0.1300000000000004,10000
44,0.1400000000000004,10000
45,0.1500000000000004,10000
46,0.16000000000000042,37
47,0.17000000000000043,23
48,0.18000000000000044,23
49,0.19000000000000045,12
50,0.20000000000000046,11
51,0.21000000000000046,11
52,0.22000000000000047,11
53,0.23000000000000048,11
54,0.2400000000000005,11
55,0.2500000000000005,11
56,0.2600000000000005,11
57,0.2700000000000005,11
58,0.2800000000000005,11
59,0.29000000000000054,11
