wild,mutant
30.1,29.9
37.7,38.7
51.1,35.0
34.7,38.3
47.0,88.1
64.2,24.8
41.7,47.6
36.1,38.7
80.5,49.7
41.7,46.2
68.3,73.3
41.3,35.3
60.4,1051.4
52.3,4055.6
2027.3,3015.0
5019.7,4019.8
4036.4,5023.4
1034.9,3020.9
8015.0,7038.0
2031.6,6013.7
4022.4,4022.4
8004.3,8004.3
8005.0,2037.4
10001.0,10001.0
7015.4,3032.2
7008.1,6017.2
6014.6,6014.5
6010.9,6010.9
9003.8,10001.0
9002.7,9002.7
