,wild_mean,wild_var,mutant_mean,mutant_var
0,37.13,810.7330999999999,37.13,810.7330999999999
0,31.65,796.2075,35.57,2210.7051
0,32.53,732.8491,32.11,1541.2778999999998
0,34.48,944.6296000000001,19.23,149.4171
0,32.31,798.7539000000002,18.85,144.3675
0,32.12,1054.9056,16.6,106.82000000000002
0,37.67,2237.6811,36.42,1419.6835999999996
0,34.05,1430.6674999999998,32.06,928.8764
0,38.04,996.3784,13.45,50.4675
0,40.39,2713.3779,17.28,109.86159999999998
0,26.98,517.9196,24.61,456.21790000000016
0,29.99,849.0299000000002,27.01,671.7499000000003
0,33.18,1919.1476000000005,12.12,45.0656
0,34.17,1162.5610999999997,34.17,1162.5610999999997
0,33.89,963.3978999999999,33.89,963.3978999999999
0,38.82,718.4876,38.82,718.4876
0,33.07,959.2051000000001,33.07,959.2051000000001
0,35.24,910.6823999999998,113.36,96304.55040000002
0,72.59,38855.1419,164.02,981170.4195999999
0,164.19,980812.1939,115.46,987003.7084000006
0,152.78,981263.8115999995,152.45,981945.0275
0,469.59,3790156.361899999,3822.95,23386508.1875
0,3924.65,23599020.867499996,4018.11,23855698.437899992
0,4125.3,23983583.669999994,20.31,99.01389999999999
0,3429.05,22244032.587500006,7503.42,18698792.123599995
0,7602.1,18208113.270000003,7202.65,20121884.9875
0,7403.8,19183862.12,7103.84,20535543.8144
0,7503.35,18699842.247500002,7502.2,18717022.9
0,7403.18,19192995.7276,7004.82,20932653.747599997
0,7603.17,18191910.2411,7801.68,17133807.1576
0,8002.69,15957019.173899999,8002.81,15955104.3139
0,7103.07,20546461.8051,7103.07,20546461.8051
0,7602.53,18201592.349099997,7503.04,18704468.8784
0,7203.12,20115131.425600003,7302.41,19674842.981900003
0,7203.28,20112843.5416,7103.59,20539113.321899995
0,7402.55,19202310.4475,3816.28,23436692.8816
0,7303.15,19664097.1475,7303.15,19664097.1475
0,7401.96,19211004.558399998,7401.96,19211004.558399998
0,7203.64,20107672.330399994,7203.64,20107672.330399994
0,8102.14,15355373.640400004,8102.5,15349557.09
0,7402.4,19204512.779999994,7303.25,19662618.9675
0,7703.64,17654064.7504,7403.99,19181061.3899
0,7302.13,19678924.173100006,4715.57,24764229.0851
0,8002.7,15956868.93,7903.15,16540317.707499998
0,7802.32,17123849.017600004,7802.4,17122604.619999997
0,6703.66,22061019.26439999,6703.66,22061019.26439999
0,7402.77,19199053.437099997,5509.31,24647842.493899994
0,8202.14,14724949.280400004,8601.03,12022291.629100002
0,8501.59,12722998.781900005,8601.53,12013714.3691
0,7602.03,18209165.169099998,8001.33,15978727.901099999
0,7602.67,18199463.841100004,5709.18,24405556.367599998
0,8003.07,15950973.685099997,8301.63,14082962.093099995
0,7801.83,17131468.9811,6303.25,23269072.0275
0,7602.07,18208557.4051,7701.74,17683215.8124
0,8201.58,14734109.383600004,8301.32,14088098.357599998
0,8700.77,11296606.377100002,8501.17,12730124.821100002
0,7801.6,17135050.6,6705.51,22036329.589899994
0,8501.12,12730968.5056,8501.12,12730968.5056
0,8201.43,14736562.965099998,8600.87,12025041.253100006
0,8701.07,11291393.465100002,8701.18,11289482.5676
0,8301.23,14089590.617100002,3513.64,22654772.290400006
0,8101.75,15361674.6475,8201.52,14735096.0896
0,8201.48,14735742.2496,8401.19,13420016.413900001
0,7901.44,16567256.906399999,1621.98,13370093.899600003
0,8001.65,15973616.887500003,8501.14,12730629.740399998
0,7601.81,18212499.9339,7302.26,19677020.072400004
0,7601.83,18212199.201100003,7601.78,18212957.9916
0,8001.65,15973615.8875,7901.72,16562841.361600004
0,8001.71,15972656.625899997,7403.26,19191810.552400004
0,8301.48,14085445.329599995,8301.48,14085445.329599995
0,7901.92,16559686.233600002,8101.42,15367007.543600004
0,7802.19,17125872.373899996,7802.19,17125872.373899996
0,8401.37,13417001.6931,7302.27,19676874.9771
