,wild_mean,wild_var,mutant_mean,mutant_var
0,21.47,294.2891,21.47,294.2891
0,22.31,426.2339,18.05,214.42750000000004
0,23.64,441.95039999999995,28.01,682.9299000000001
0,23.32,384.5976000000001,19.53,207.88910000000004
0,23.07,352.62510000000003,23.07,352.62510000000003
0,21.67,465.3410999999999,15.77,162.0771
0,19.95,294.9675,19.95,294.9675
0,19.62,258.07559999999995,21.41,332.76189999999997
0,22.37,337.75309999999996,22.37,337.75309999999996
0,24.22,387.9716000000001,28.33,559.0211
0,18.55,324.70750000000004,24.7,847.8699999999999
0,28.9,662.8099999999998,29.63,682.2931000000001
0,27.0,562.0,27.0,562.0
0,28.03,712.5691,23.76,515.1823999999999
0,25.8,593.6199999999999,20.74,282.11240000000004
0,34.36,895.3503999999999,41.96,1515.1784
0,27.84,531.5344,18.33,164.64109999999994
0,27.53,561.6491,42.08,4860.0136
0,35.09,1912.8019,35.09,1912.8019
0,40.44,3435.0064000000007,35.42,1868.9836000000003
0,41.26,2084.9323999999997,345.24,2885473.7823999994
0,252.24,1942114.0223999994,462.52,3796131.9096000004
0,656.71,5576037.805900002,855.88,7274756.145600002
0,348.44,2883660.4464,263.26,1942771.3923999998
0,350.15,2888091.3075,35.65,3407.7475
0,468.62,3792655.6756,559.45,4699033.867499998
0,350.08,2884872.9936,129.87,985022.5730999999
0,247.45,1944041.6674999995,1523.84,12679135.674399998
0,1224.6,10501645.86,1224.6,10501645.86
0,1923.49,15301655.009900006,2018.28,15927279.861600004
0,1322.43,11252181.125099998,3317.07,21997880.065100007
0,3621.16,22889240.2344,3815.15,23445476.3075
0,3719.8,23164543.26,2422.49,18132812.329900004
0,3020.82,20876165.347599998,4014.15,23887342.4875
0,4113.66,24078463.84440001,4113.66,24078463.84440001
0,3515.04,22645332.338400003,5905.02,24130848.799599994
0,6604.73,22377656.037100002,6604.75,22377392.2875
0,6405.17,22974033.801099997,6704.77,22046313.077100005
0,5904.74,24134153.172399994,6602.36,22408862.070400003
0,7202.12,20129486.845599998,7202.12,20129486.845599998
0,7501.86,18722113.1404,7501.86,18722113.1404
0,7701.75,17683062.8275,7701.5,17686908.59
0,7701.81,17682141.5339,7701.81,17682141.5339
0,6102.64,23757807.430400003,6202.55,23528395.0075
0,6202.59,23527898.48189999,6202.89,23524182.377899993
0,6202.74,23526039.712400004,6102.34,23761462.744400002
0,7101.81,20564307.4339,7101.81,20564307.4339
0,6902.0,21362411.04,7001.82,20974528.607600003
0,7102.0,20561612.16,6702.63,22074775.573100004
0,7002.42,20966137.223600004,7002.42,20966137.223600004
0,6802.38,21727650.255600005,6702.37,22078257.8131
0,6502.5,22717514.55,6502.05,22723359.367499992
0,7202.05,20130493.2275,7302.03,19680376.069099996
0,5702.96,24476271.638399996,5702.96,24476271.638399996
0,6902.67,21353181.401099995,7301.91,19682126.861899994
0,6802.42,21727103.263600007,6702.68,22074108.897600006
0,7002.33,20967395.581100002,7402.0,19210413.46
0,7101.79,20564591.385900002,7102.08,20560476.9936
0,6202.74,23526039.472400002,6202.8,23525296.840000004
0,7502.06,18719116.056399997,7901.58,16565047.623600004
0,7401.97,19210857.069099996,7502.2,18717016.64
0,6402.77,23004563.537100006,6402.69,23005586.15390001
0,6702.41,22077721.4219,6702.41,22077721.4219
0,7002.27,20968234.9971,7202.14,20129199.460400004
0,7701.66,17684446.964399997,7701.64,17684754.470399998
0,7301.64,19686065.050399996,6603.32,22396228.657599993
0,6802.36,21727918.790400006,6802.36,21727918.790400006
0,7002.41,20966278.6419,7801.47,17137077.469100002
0,7501.86,18722113.1604,7401.86,19212484.8804
0,6802.4,21727376.340000004,6802.44,21726833.006399993
0,8201.07,14742458.685100002,7901.45,16567100.767499994
0,8601.23,12018855.0171,8601.23,12018855.0171
0,7101.99,20561754.509899996,7102.07,20560620.1451
0,7102.1,20560193.650000002,7601.6,18215690.540000003
0,7101.99,20561753.9099,7102.09,20560335.9819
0,7502.17,18717469.741100002,7102.4,20555937.24
0,7301.66,19685773.4844,7501.66,18725111.244400002
0,7701.48,17687217.729599997,7901.27,16569941.7971
0,7601.48,18217512.769599997,7601.44,18218119.866399996
0,7301.74,19684606.212400004,7401.96,19211008.038399998
0,7401.97,19210858.4691,7701.62,17685063.255599994
0,7901.48,16566625.669599999,7901.48,16566625.669599999
0,7301.76,19684314.182400003,6402.54,23007502.5484
0,7301.92,19681979.373599995,7301.92,19681979.373599995
