,wild_mean,wild_var,mutant_mean,mutant_var
0,8.59,44.701899999999995,8.59,44.701899999999995
0,8.7,57.27,8.7,57.27
0,10.24,168.46239999999997,10.24,168.46239999999997
0,9.0,72.24,9.0,72.24
0,8.39,59.51790000000001,7.88,22.1056
0,9.14,63.7204,8.5,48.51
0,7.89,35.417899999999996,6.57,13.625100000000002
0,9.26,70.51240000000001,7.18,8.227600000000002
0,9.09,50.4019,6.64,4.5704
0,9.31,71.59389999999999,8.79,33.9659
0,8.04,35.11840000000001,8.04,35.11840000000001
0,7.71,65.48590000000004,6.38,17.055600000000002
0,8.91,37.12190000000001,8.91,37.12190000000001
0,10.11,129.5179,7.21,6.5658999999999965
0,7.54,16.5684,7.54,16.5684
0,8.37,39.89310000000001,8.32,47.277600000000014
0,8.14,28.52040000000001,8.14,28.52040000000001
0,8.05,44.407500000000006,8.88,92.8256
0,8.87,66.8131,6.72,4.7216
0,8.78,73.31159999999998,6.6,4.119999999999999
0,9.32,116.2376,9.52,131.2296
0,8.65,54.9675,8.65,54.9675
0,9.03,66.20909999999999,6.46,4.8684
0,9.22,44.2116,9.22,44.2116
0,7.91,24.861899999999995,7.91,24.861899999999995
0,9.31,81.49390000000001,9.77,125.81710000000001
0,8.49,104.78990000000003,8.33,104.90110000000003
0,8.82,32.627599999999994,7.66,20.004400000000004
0,8.67,28.5611,8.67,28.5611
0,8.79,59.6659,8.79,59.6659
0,8.1,36.13,6.52,14.569599999999998
0,8.9,31.030000000000005,8.87,32.113099999999996
0,8.18,25.927599999999995,9.94,45.836400000000005
0,9.19,38.193900000000006,9.19,38.193900000000006
0,10.38,55.675599999999996,9.62,50.9956
0,11.37,138.45310000000006,11.44,103.82639999999999
0,11.32,73.89760000000001,11.4,80.88
0,12.01,118.22989999999999,10.39,40.3579
0,10.34,40.2844,9.1,28.73
0,9.34,23.6644,9.39,25.477899999999998
0,10.02,70.55959999999999,9.42,68.08359999999999
0,10.09,41.3419,10.78,84.2116
0,13.02,225.4596,14.15,286.9675
0,11.06,66.71640000000001,8.95,27.5475
0,10.22,59.37159999999999,10.4,60.98000000000001
0,11.26,89.53240000000001,10.82,82.96760000000002
0,10.56,75.7864,10.56,75.7864
0,12.5,199.15,12.5,199.15
0,11.58,84.04360000000001,9.59,54.041899999999984
0,12.44,141.2064,18.07,478.4051
0,13.97,186.44909999999996,12.73,154.07709999999997
0,13.33,242.10109999999997,13.65,280.4875
0,15.41,284.7219,11.48,118.4296
0,14.54,351.9884,12.0,151.66
0,16.11,360.69790000000006,115.42,987241.4036
0,12.61,371.7779,11.39,214.8779
0,15.52,459.7496,13.22,180.97160000000002
0,14.1,227.79000000000005,12.74,213.75240000000005
0,16.44,396.10640000000006,10.45,60.547499999999985
0,14.19,335.5139,14.19,335.5139
0,15.32,372.41759999999994,18.55,754.9074999999998
0,16.27,444.93710000000004,16.27,444.93710000000004
0,15.37,334.1931000000001,16.18,508.36760000000004
0,14.84,321.89439999999996,13.04,273.2784
0,17.0,681.48,17.01,434.34989999999993
0,20.45,737.8674999999998,25.72,1108.4016000000001
0,26.87,1814.5931,278.72,2042192.9616000003
0,128.43,986556.4251000003,16.18,460.0276
0,205.4,1292748.06,205.4,1292748.06
0,279.34,2010882.6443999999,279.34,2010882.6443999999
0,156.12,1040278.3656,156.12,1040278.3656
0,243.79,1946181.4058999994,724.39,6477421.277900002
0,26.4,1604.2599999999998,627.1,5608864.55
0,421.42,3422998.0036,541.12,4713592.305599999
0,838.15,7304229.507499998,30.95,2332.0075
0,646.97,5601145.969100001,227.83,1950192.8211
0,441.58,3815887.9636000004,441.58,3815887.9636000004
0,244.75,1947559.1275,222.52,1354004.9696000002
0,254.42,1952714.4036,204.28,1136595.6215999997
0,325.57,2897119.6851,23.37,1328.5131
0,448.79,3811204.2458999995,22.98,1102.2196
0,342.0,2890045.34,3606.68,22992018.677599993
0,3108.53,21337351.349099997,1817.22,14699051.6716
0,3007.37,20955882.6131,3807.03,23506761.269099988
0,4604.37,24799864.8331,4604.97,24794401.8091
