,wild_mean,wild_var,mutant_mean,mutant_var
0,45.23,6317.0571,45.23,6317.0571
0,36.84,1513.8344,44.62,5755.975600000002
0,53.45,4667.387500000001,27.77,344.29709999999994
0,60.18,5830.147600000001,51.69,3819.1338999999994
0,40.53,929.5091,40.53,929.5091
0,55.56,8502.8664,74.27,24344.1771
0,52.28,2031.5016,48.5,2927.77
0,57.75,2430.0675,54.72,1911.7815999999998
0,58.66,6940.1244,35.44,787.7663999999999
0,83.42,43745.08359999999,59.06,3469.7364000000002
0,91.39,58148.277899999994,182.17,86146.36110000004
0,53.0,1615.62,53.0,1615.62
0,79.73,32167.9571,70.61,25965.297900000005
0,54.23,1874.1371000000006,57.65,9514.447500000002
0,61.17,4446.2011,47.23,1055.1171000000002
0,70.87,21426.093099999995,62.17,2878.6410999999994
0,67.44,7266.6864000000005,87.76,35181.562399999995
0,63.15,4196.447499999999,57.52,4782.8896
0,65.78,4097.511600000002,352.14,2056068.4004000006
0,255.45,1281076.7274999998,255.45,1281076.7274999998
0,574.54,3842480.8083999995,565.13,2815936.8531
0,758.57,5908744.8651,49.17,1341.9211000000003
0,339.36,1999304.2303999995,339.36,1999304.2303999995
0,809.38,5540225.915600001,321.27,1026782.9570999999
0,336.83,2022222.8011000005,277.42,972914.9236
0,694.98,4543586.539600001,694.98,4543586.539600001
0,144.22,297252.11159999983,197.2,981218.44
0,429.77,2959768.9170999993,429.77,2959768.9170999993
0,692.49,4925613.0299,692.49,4925613.0299
0,386.75,2290341.8075,45.7,1633.11
0,494.03,3646491.6090999995,246.59,494104.3819
0,715.34,5418380.424399999,137.54,272492.9084
0,759.77,6249680.117099998,759.77,6249680.117099998
0,690.13,5042203.313100001,311.95,826623.3875000003
0,537.54,3915459.9083999996,361.31,695200.5339
0,335.8,2038491.1800000004,335.8,2038491.1800000004
0,673.48,4495160.169600001,601.39,3737981.4979000003
0,347.38,2339498.355600001,42.69,1002.3939
0,467.32,3195550.2976000006,467.32,3195550.2976000006
0,578.17,4001087.2611000002,53.09,5050.8219
0,710.44,5117614.4664,356.61,2012028.3379
0,511.82,3438982.2676,494.71,3670232.4059
0,646.46,4672396.548400002,54.11,2142.4979
0,532.91,3479834.8019,172.06,106150.0164
0,553.88,3296135.9256,152.8,351877.88000000006
0,377.95,2360086.2874999996,377.95,2360086.2874999996
0,486.02,3090709.339599999,156.22,329929.0516
0,503.84,3133387.7744,45.07,1284.5651
0,595.91,3375024.0219000005,63.09,2357.5419
0,653.69,4471100.773899999,182.69,66515.79389999999
0,710.45,4637655.927499999,433.53,1941473.6291000003
0,581.48,4076722.749600001,322.2,1236958.9599999997
0,397.59,2727799.7419,249.46,717831.1083999999
0,553.5,3709465.19,441.0,2156100.72
0,467.42,2890032.6036,31.18,411.18760000000003
0,537.58,3850391.8236000002,49.75,1061.3275
0,307.5,1215078.03,760.69,6429989.3339
0,878.11,7258325.957899997,878.11,7258325.957899997
0,432.31,3129952.1938999994,432.31,3129952.1938999994
0,870.64,7268035.290400001,138.47,81519.6691
0,380.81,2870505.8739000005,208.13,86125.31309999998
0,1023.9,8284670.930000002,866.3,5508978.490000001
0,579.81,4678629.473900001,488.66,3781125.0644000005
0,772.68,6418252.4376,60.56,2843.6263999999996
0,539.85,4014575.9675,539.85,4014575.9675
0,481.49,3789028.7099,1427.93,11013360.9451
0,847.31,6349890.453900001,5422.13,24602591.0531
0,5819.47,24135699.429100003,3860.89,23120602.0979
0,6216.82,23352528.5076,7705.07,17632117.4251
0,7703.38,17658012.715600003,8002.27,15963705.357100002
0,7603.52,18186569.4296,7308.13,19592063.733099997
0,8105.23,15305540.257100001,8601.63,12011983.173099995
0,8404.21,13369457.465900002,8404.36,13366950.970399994
0,7805.05,17081424.1875,7904.75,16515149.3875
0,7904.02,16526593.839599999,7904.02,16526593.839599999
0,7703.84,17650987.4344,7802.82,17116048.847599998
0,8603.72,11976193.621599998,8703.64,11246857.850399995
0,8002.79,15955416.885899998,8301.89,14078648.1379
0,7905.69,16500514.493900003,8102.93,15342611.125099994
0,7504.52,18682403.029599994,6604.83,22376328.2611
0,8701.99,11275420.7899,8601.83,12008558.1411
0,7203.95,20103181.487499997,7203.95,20103181.487499997
0,7106.58,20496893.963600002,7106.61,20496467.857899997
0,8004.47,15928746.949099999,8302.01,14076658.929900005
0,8402.47,13398571.989099996,8801.16,10539595.1744
0,8501.52,12724175.729599997,8501.52,12724175.729599997
0,8302.5,14068533.75,8502.41,12709069.921900002
0,8501.54,12723837.248399997,8401.71,13411292.005899994
0,7802.63,17118999.7331,7802.63,17118999.7331
0,8601.36,12016621.330400005,8501.57,12723327.405099997
0,8601.76,12009749.8424,8203.41,14704168.281899998
0,7802.31,17123988.253900003,7802.31,17123988.253900003
0,7702.5,17671525.09,7802.34,17123518.164400004
0,8301.96,14077485.318399997,7604.38,18173534.3756
0,8401.87,13408606.333100002,8002.91,15953490.341900006
0,7603.31,18189729.013899997,7304.27,19647761.937099993
0,8301.75,14080966.4075,8301.86,14079142.440399999
0,8202.59,14717557.9419,8202.59,14717557.9419
0,8402.15,13403908.9275,7008.58,20880206.843600005
0,7702.66,17669063.444399998,7703.05,17663066.307500005
0,8002.2,15964824.239999998,8002.5,15960033.43
0,8302.07,14075663.3451,8401.9,13408103.009999998
0,8701.47,11284440.529099999,8701.49,11284093.2099
0,8601.46,12014902.248399999,6412.94,22875162.816400003
