,wild_mean,wild_var,mutant_mean,mutant_var
0,19.25,295.3875,15.25,183.7675
0,16.02,175.1996,11.58,47.803599999999996
0,14.71,174.3659,9.55,24.847499999999997
0,17.77,333.9971,18.53,388.3090999999999
0,19.49,297.1899000000001,21.44,430.7264000000001
0,20.48,376.5096000000001,12.76,65.0224
0,16.87,219.95309999999998,8.81,7.653900000000001
0,18.06,327.2364,17.96,315.0584
0,15.07,323.5251,17.28,340.5216
0,20.93,409.50509999999997,20.71,383.62590000000006
0,22.47,530.2091,21.43,473.1450999999999
0,19.67,399.4810999999999,14.49,164.68989999999997
0,20.14,371.20040000000006,19.46,302.5884
0,20.92,474.0536,20.92,474.0536
0,20.11,414.8779,20.11,414.8779
0,23.8,535.46,23.8,535.46
0,21.7,494.03,29.02,1289.9196000000002
0,25.79,846.7059000000002,25.79,846.7059000000002
0,33.8,1474.2,27.98,989.3795999999999
0,35.75,1241.2475,22.87,334.2331
0,26.47,1128.2090999999998,25.12,1067.3256
0,33.9,1248.0299999999997,33.9,1248.0299999999997
0,32.38,848.6556000000002,38.27,1282.2571
0,21.8,493.19999999999993,21.8,493.19999999999993
0,34.39,1397.0779000000005,1125.25,9735506.3475
0,1324.51,11247327.669899998,1220.65,10511146.3275
0,931.07,8135048.465100003,5708.68,24411399.017600004
0,4609.5,24752917.69,5207.69,24880336.51389999
0,4608.26,24764224.8524,4608.26,24764224.8524
0,4014.35,23885836.4475,6203.18,23520605.447600003
0,5207.2,24885257.180000003,6207.31,23469677.573900003
0,4806.71,24895772.725899998,5905.21,24128870.465900008
0,5104.6,24943137.319999997,5603.53,24600493.009099994
0,4407.18,24577039.167600002,5604.95,24584800.227499995
0,6004.44,23946838.386400007,6005.01,23940101.529900003
0,6005.15,23938342.327500008,2825.57,20018332.105100002
0,5505.8,24686404.65999999,5505.8,24686404.65999999
0,6702.61,22075057.9379,5809.29,24253001.4459
0,6705.27,22039659.717100002,5708.6,24412391.52
0,5605.22,24581701.091600005,5804.27,24310529.1171
0,6902.89,21350158.877899997,6902.89,21350158.877899997
0,6105.01,23729010.60990001,5012.17,24879015.581100002
0,6403.83,22991080.581100002,4220.93,24186123.2451
0,5905.06,24130414.696399998,5904.77,24133822.037100006
0,6303.5,23265965.57,6703.45,22063852.627500005
0,5804.94,24302844.096400008,5703.83,24466391.821100008
0,6504.29,22694351.7659,4713.88,24780416.3856
0,6902.78,21351669.1516,6902.78,21351669.1516
0,5704.9,24454278.79,5005.56,24944523.226400003
0,6104.75,23732152.2675,6603.0,22400447.98
0,6205.05,23497607.1275,6802.11,21731315.5379
0,6702.77,22072930.2571,6702.77,22072930.2571
0,5403.39,24803414.117899995,4506.3,24693498.01
0,6702.85,22071853.4875,6903.32,21344311.4176
0,5705.32,24449487.717600007,4312.67,24401988.0011
0,6004.26,23948990.85240001,6004.25,23949110.7275
0,5404.14,24795339.7404,5503.98,24706272.1996
0,6003.0,23964020.36,4014.08,23888014.493599996
0,6903.77,21338092.937099997,7401.58,19216624.6636
0,5304.25,24865003.7075,5404.62,24790171.195599996
0,5703.95,24465026.007499997,4909.02,24902101.379600003
0,5405.32,24782654.897600003,5405.32,24782654.897600003
0,6203.67,23514571.261100005,6404.37,22984183.933099996
0,6503.13,22709356.853099994,6405.0,22976392.14
0,6403.31,22997678.0539,6902.15,21360342.4075
0,6602.07,22412686.885100003,6003.61,23956744.997900005
0,6901.83,21364755.3211,6801.9,21734169.39
0,6801.8,21735528.600000005,6601.98,22413873.5396
0,7102.07,20560619.8851,7102.02,20561328.679599997
0,6302.56,23277758.506399993,5902.61,24159215.137899995
0,6902.22,21359377.251600005,7002.1,20970612.250000004
0,6302.55,23277883.9875,6302.47,23278890.889100004
0,6902.06,21361583.9164,7001.9,20973410.21
0,7901.24,16570415.322400002,8101.06,15372833.896400003
0,7002.05,20971312.1675,7201.81,20133946.013899997
0,7601.48,18217512.769599997,7601.64,18215084.310399994
0,7401.66,19215440.884400003,7401.66,19215440.884400003
0,6802.21,21729958.065899998,6802.21,21729958.065899998
0,6402.4,23009293.920000006,6402.36,23009804.870400004
0,6702.4,22077854.52,6802.44,21726832.386399996
0,6302.35,23280401.627500005,6302.35,23280401.627500005
0,6702.4,22077853.36,6702.47,22076916.3891
0,6602.23,22410577.197099995,6702.21,22080398.5459
0,6902.1,21361033.370000005,6902.09,21361171.101899996
0,7501.83,18722562.061100002,7401.87,19212335.573100004
0,6602.23,22410577.0171,6702.12,22081604.005599998
