,wild_mean,wild_var,mutant_mean,mutant_var
0,22.69,361.3938999999999,22.69,361.3938999999999
0,20.59,306.0018999999999,22.5,383.99
0,22.66,519.2644,22.66,519.2644
0,19.09,320.84189999999995,18.34,267.5244
0,17.82,319.4876,11.56,42.626400000000004
0,19.23,401.0370999999999,17.34,324.52439999999996
0,22.0,354.6,27.07,676.1651
0,27.58,614.4836000000001,29.43,772.3650999999998
0,24.3,617.57,25.98,582.4795999999999
0,26.8,608.5600000000002,55.6,3834.2200000000007
0,45.29,2225.8659000000002,45.29,2225.8659000000002
0,38.15,1375.7074999999998,37.95,1413.6275000000003
0,41.77,1969.0971,42.83,1721.1211000000005
0,38.11,1495.2178999999999,32.73,1357.0371000000002
0,44.53,3140.1890999999996,45.35,4091.4475
0,39.41,1762.5419000000004,11.8,48.42
0,40.1,2837.43,10.08,38.6336
0,40.49,2173.7299,11.55,42.7275
0,45.79,2558.8459,56.16,5255.974399999998
0,37.87,2055.1530999999995,37.87,2055.1530999999995
0,55.84,5885.874400000001,55.84,5885.874400000001
0,69.7,6534.050000000001,358.55,2878513.9075000007
0,257.07,1943051.6850999997,108.76,108793.6424
0,351.45,2881436.0474999994,256.94,1940198.0363999999
0,156.23,983763.0571,39.44,1514.0864
0,178.23,988645.6370999998,48.15,2989.1674999999996
0,248.38,1943876.0956000006,248.38,1947927.0556000005
0,62.08,7410.833600000001,62.08,7410.833600000001
0,57.67,4554.9211,57.67,4554.9211
0,148.78,982552.9115999998,148.78,982552.9115999998
0,52.93,2721.8451,2531.57,18594206.225100003
0,2034.79,15863429.625899998,2331.06,17568593.436399996
0,2034.78,15862360.311599998,2034.78,15862360.311599998
0,2133.39,16451855.877900003,353.4,2881220.7999999993
0,2032.02,15873194.999599995,153.36,982052.3304000001
0,1636.91,13323964.261900002,2326.3,17589995.17
0,2827.84,20006652.494400002,2827.84,20006652.494400002
0,2824.7,20022961.130000003,3219.69,21634887.6139
0,2831.93,19984626.2451,550.04,4702826.178399999
0,2025.4,15899453.08,154.58,984862.5636000001
0,2723.76,19582876.1824,3023.02,20862956.679599997
0,2130.82,16461813.447600001,845.12,7291490.785599998
0,2429.69,18098766.3939,2429.69,18098766.3939
0,2531.75,18593087.2475,2236.18,17002970.207599994
0,2431.1,18092379.13,151.49,983799.7098999999
0,1826.48,14665762.2496,1920.48,15312658.209600003
0,2631.41,19078361.561899997,2634.33,19063398.741100002
0,1629.41,13347260.981900003,2224.49,17053083.629899997
0,2928.04,20428952.7984,3024.11,20856300.097899996
0,3028.91,20827786.2819,3028.91,20827786.2819
0,3226.91,21588908.941899996,3226.91,21588908.941899996
0,3815.04,23446308.178400002,3419.1,22311109.09
0,2228.34,17036495.9244,2323.74,17601708.672399998
0,3021.79,20870326.8059,3021.79,20870326.8059
0,3222.47,21617435.369100004,3126.76,21225733.942399997
0,2429.49,18100015.8099,2825.32,20019526.257600002
0,2830.78,19989248.8316,2823.4,20029791.74
0,2728.92,19555163.393600002,2626.84,19101784.1944
0,2729.44,19552458.806399994,3125.29,21234216.6459
0,3331.25,21905697.5075,955.88,8092890.125599999
0,2625.16,19110524.514399994,6204.04,23509972.818399996
0,3122.46,21251536.108400002,2429.32,18100587.3576
0,2626.23,19105005.677100006,4016.95,23865439.707499992
0,3422.9,22285469.53,3827.09,23357056.2619
0,3917.83,23651697.181099992,2032.88,15870418.1656
0,4519.96,24571475.598399997,2925.61,20442376.137899995
0,4024.11,23808661.997899994,3118.3,21277531.389999997
0,3127.59,21221571.421899997,2826.65,20012206.907500003
0,4215.99,24226402.489899993,4218.18,24208349.38760001
0,4016.3,23870407.23,5905.08,24130335.993599992
0,6806.5,21671959.63,6805.18,21689713.9876
0,6606.06,22360257.716399994,6704.84,22045310.3544
0,6607.27,22344357.4371,6303.24,23269199.5224
0,7204.83,20090702.621100005,6403.79,22991542.5659
0,6705.11,22041894.057900004,7002.19,20969354.593899995
0,6704.38,22051465.435600005,6803.33,21714770.8411
0,6505.59,22677619.361899994,1436.74,11938920.232399995
0,6504.86,22686937.9404,1639.02,13317938.859599996
0,6108.17,23690596.561100002,6108.17,23690596.561100002
0,6111.76,23647173.622399997,8301.29,14088595.205899995
0,6902.29,21358413.405900005,7101.99,20561753.449899994
0,8301.18,14090420.407600002,8101.35,15368139.7075
0,7201.98,20131499.979599997,6206.32,23481837.6176
0,6702.55,22075845.9275,6802.52,21725744.4696
0,7601.87,18211589.633100003,6306.49,23228421.669899996
0,8101.41,15367167.601900004,8101.56,15364739.946399996
0,7901.49,16566467.849899996,7701.76,17682909.302400004
0,7401.77,19213814.8371,7202.1,20129776.070000004
0,7801.54,17135986.008399997,8001.32,15978887.957599998
0,6402.93,23002515.4251,6402.93,23002515.4251
0,7302.3,19676436.229999997,7002.75,20961521.2275
0,7402.02,19210118.159599997,7301.76,19684314.882400006
0,7201.97,20131643.149099994,7002.27,20968234.937100004
0,8201.2,14740328.140000004,8201.24,14739673.1424
0,7102.33,20556931.881100003,7102.37,20556364.8331
0,7601.72,18213867.421600003,7601.71,18214019.185899995
0,6602.72,22404114.481599998,7102.13,20559767.4131
0,6902.22,21359379.371600002,7202.0,20131213.76
0,8401.23,13419345.477099998,8501.16,12730288.814399999
0,7701.84,17681678.314400002,7701.84,17681678.314400002
0,7102.44,20555370.326399993,7002.53,20964598.009099998
0,7701.78,17682601.771599997,7801.67,17133961.081099994
0,7302.28,19676729.661599997,7502.0,18720014.1
0,7601.71,18214018.605899997,7102.26,20557923.8524
0,7402.04,19209822.638400003,7402.43,19204057.125099998
0,7901.82,16561258.667600004,7901.58,16565046.843600001
0,7701.67,17684293.101099998,8001.38,15977928.975600004
