,wild_mean,wild_var,mutant_mean,mutant_var
0,4579.24,24058150.022400003,2788.36,19241100.650399998
0,3587.52,22147769.7096,3850.1,23182894.850000005
0,3795.81,22615873.133899998,4481.59,23934008.8219
0,4488.51,23875887.009900004,4182.67,23524442.901100002
0,4688.35,24047939.067499995,4200.76,23381275.0224
0,4282.17,23682147.2811,4498.05,23795443.0875
0,4769.52,24265192.3896,1169.66,9639804.3244
0,5084.86,24171161.220400006,275.73,1932348.2570999998
0,5553.53,24166863.2491,4263.9,23830604.63
0,4186.67,23494417.0011,4580.32,24040254.897600003
0,5350.5,24379466.41,4571.35,24116983.6675
0,4668.69,24216229.09390001,7447.84,18552012.974400003
0,8619.12,11714109.4056,8326.89,13670028.0979
0,8425.24,13022368.3024,7349.26,19012256.9524
0,8518.52,12438350.0496,10000.0,0.0
0,8423.14,13055031.860400002,7433.19,18754769.813900005
0,8422.66,13062781.924400004,9703.21,2848101.7259000004
0,8039.09,15388239.301900003,8330.81,13606242.473899998
0,8035.57,15438841.065100003,7638.66,17660109.524399996
0,8126.77,14961020.8171,1778.25,13847930.4875
0,8517.86,12449233.100400003,7145.04,19960507.478399996
0,8522.01,12380692.8699,9703.4,2844518.6000000006
0,7837.45,16583889.1275,8324.73,13704097.0571
0,8235.88,14184533.905599995,8614.71,11788957.605899999
0,8617.27,11745742.437099999,7954.52,15753733.44959999
0,8028.96,15544001.158400007,8529.64,12256529.270399995
0,8917.33,9485067.501099998,8725.52,10878671.3296
0,8033.12,15478641.745600004,7343.72,19079314.861600004
0,8625.01,11615986.249899998,9902.0,950796.0
0,7831.43,16675395.545099998,7736.17,17159750.121099997
0,8226.59,14329063.181900002,7249.22,19462534.771600004
0,8521.6,12389063.44,9900.54,979336.8684000006
0,8226.11,14336423.697900003,7922.51,16238007.1899
0,8422.4,13070208.379999995,451.43,3799669.1651
0,8033.87,15467357.073099995,7841.77,16518213.917099994
0,8034.92,15449745.0136,8813.54,10323357.248399999
0,8427.86,12978006.2604,8426.41,13001020.1019
0,7832.56,16657620.4064,8420.23,13103776.817099998
0,8220.19,14432025.5339,7444.43,18599062.545099996
0,8622.13,11663286.773100004,7433.07,18755130.345100008
0,8719.39,10976746.9779,8228.52,14299624.749599995
