,wild_mean,wild_var,mutant_mean,mutant_var
0,1435.55,10974301.707500003,30.85,243.92750000000004
0,1248.15,9484959.447500002,1124.56,8764514.5064
0,842.09,6331425.721899998,1028.73,7977547.917099999
0,1328.08,10336349.973600002,993.85,8029254.827499999
0,1632.06,12366303.476400003,8227.76,14311253.702399997
0,8233.68,14220217.357599998,9304.13,6433467.5731
0,8527.69,12284399.033899996,9702.91,2853959.3819
0,8626.2,11594997.48,8917.11,9488798.7179
0,8524.51,12339335.469899995,8132.16,14876167.094399996
0,8714.88,11053185.445599997,7923.44,16222718.826400004
0,8710.68,11126029.297600003,717.42,5511352.803599999
0,8615.82,11770214.167599993,8223.55,14377474.3675
0,7637.0,17686087.4,8620.29,11695082.3059
0,8218.49,14458850.509900002,8317.64,13819827.0904
0,8221.12,14417167.685600001,8811.02,10367288.539600004
0,8222.53,14396573.349099996,8333.44,13570915.486399997
0,8320.88,13766907.645600002,8127.89,14945178.957899993
0,8713.14,11082890.0404,8917.44,9483799.786399998
0,8611.9,11836701.109999998,8022.67,15641209.341100002
0,8130.76,14898264.482399998,8614.16,11798099.294400003
0,8619.92,11702103.293600004,3525.11,21610531.257899996
0,8621.48,11676287.289599998,8520.92,12401239.953599999
0,8713.96,11069241.218399994,8217.51,14474818.469900003
0,8415.83,13175908.721100004,7950.08,15876635.4336
0,8117.96,15101105.858399998,8523.52,12356449.209599998
0,7938.44,15996252.286399998,5386.35,24011617.007500004
0,8618.13,11731755.993099997,8809.8,10388675.979999999
0,8216.45,14491997.847499998,7626.46,17845256.108399995
0,9023.85,8585475.7875,9900.55,979139.9474999991
0,8533.57,12192992.165100003,8812.1,10348534.329999998
0,8127.27,14954870.337100001,2716.98,18646366.1196
0,9011.1,8802235.35,8811.48,10359248.149600001
0,8616.85,11752831.887499996,8228.94,14291269.416400008
0,8812.16,10347565.7544,4396.83,23694216.0211
0,8816.54,10272553.948399998,9900.37,982687.5530999994
0,9900.22,985648.7916,10000.0,0.0
0,9900.13,987427.6731000001,10000.0,0.0
0,9900.24,985253.702400001,10000.0,0.0
