,wild_mean,wild_var,mutant_mean,mutant_var
0,218.39,980985.7579000001,30.64,191.7704
0,433.53,2851215.2891,433.53,2851215.2891
0,231.59,984962.4218999998,231.59,984962.4218999998
0,143.35,25071.8275,321.73,1929059.5971
0,247.06,982568.9564000001,238.72,982131.9216
0,255.89,978542.7979000004,354.32,1918731.0976000002
0,331.61,1924665.8778999997,26.27,92.91709999999998
0,120.43,15014.265100000002,12.1,0.95
0,147.96,21634.858399999997,220.88,983814.6656000001
0,125.61,22252.477900000005,125.61,22252.477900000005
0,231.52,981674.2496000001,92.23,9151.217100000002
0,140.22,21915.551600000003,259.8,986665.2600000006
0,140.65,26306.7475,112.76,9945.262400000001
0,263.3,980342.6100000001,842.39,6324794.097899999
0,1322.64,10275877.990400001,158.81,26551.713900000002
0,1343.38,10231712.715599999,1343.38,10231712.715599999
0,1040.24,7953535.242400002,1258.82,9462285.3876
0,1228.61,9524689.8179,1228.61,9524689.8179
0,1232.46,9514631.3284,1424.34,11006572.424399998
0,1347.74,10227683.0324,860.15,6311372.2675
0,1424.77,11000134.7371,1424.77,11000134.7371
0,1249.67,9479933.281099997,8807.24,10433485.022400003
0,8006.65,15893992.007500002,8005.2,15917058.26
0,8804.04,10489415.1184,196.42,35854.6836
0,8004.92,15921505.3336,8605.15,11951867.367500005
0,8705.24,11219858.702400003,8604.1,11969892.51
0,8905.08,9700000.133599998,5036.48,24637806.9496
0,8904.22,9715169.971600004,9500.55,4739555.8675
0,9301.76,6477362.3424,8902.74,9741376.052399999
0,9202.36,7316677.0304,9402.34,5596191.4444
0,8803.04,10506589.6584,1360.52,11157161.249600003
0,8306.61,14000762.377900003,9001.07,8980750.385099996
0,8905.78,9687741.451599998,8906.95,9667280.6275
0,8804.18,10486767.2876,8903.34,9730739.064399999
0,9203.12,7302780.325600003,9205.09,7267197.561900001
0,9301.55,6481228.347500002,8907.48,9657911.669599995
0,8605.51,11945623.549900003,8902.41,9747204.0419
0,8704.74,11227920.552400002,8604.54,11962293.6484
0,8305.09,14025760.841899997,8402.83,13392515.001099996
0,9401.48,5612222.729600001,9401.48,5612222.729600001
0,8903.94,9720168.956400001,9002.36,8957613.130399998
0,9301.84,6475863.274399999,9103.41,8128159.0019000005
0,8605.05,11953592.9875,8605.05,11953592.9875
0,8906.63,9673171.8931,9500.61,4738417.277899999
0,9204.17,7283639.181100003,8906.41,9676470.321899995
0,9004.15,8925595.687499998,8905.48,9692917.629600003
0,9005.04,8909635.318400003,9501.73,4717195.2171
0,8307.96,13978747.758399997,8307.96,13978747.758399997
0,9403.68,5571380.437600001,9501.01,4730836.8699
0,8404.11,13371148.6979,8404.11,13371148.6979
0,9104.75,8104122.8875,9105.56,8089764.746399999
0,9006.22,8889256.171600003,9301.07,6490122.245099997
0,8801.6,10531866.66,164.15,981720.6274999998
0,8704.78,11227177.5116,9002.28,8959056.521600002
0,9203.3,7299719.57,9400.64,5627974.4904
0,8903.69,9724632.033899998,8904.79,9705579.285899999
0,9303.67,6441998.641099997,9303.67,6441998.641099997
0,9006.54,8883103.988400001,9006.54,8883103.988400001
