,wild_mean,wild_var,mutant_mean,mutant_var
0,37.67,11617.121099999998,37.67,11617.121099999998
0,60.43,31818.865100000003,60.43,31818.865100000003
0,34.8,8285.88,48.71,10133.5259
0,338.6,2891611.159999999,338.6,2891611.159999999
0,36.9,15540.53,36.9,15540.53
0,37.46,4669.888400000001,37.46,4669.888400000001
0,131.75,986753.3075,123.11,986127.0178999995
0,385.38,3248539.9756000005,415.21,3624029.7859000005
0,127.21,986719.8659000003,34.04,7997.518400000002
0,232.48,1950953.2096000004,233.47,1950403.2291000008
0,131.49,988716.4299000001,131.49,988716.4299000001
0,129.33,987751.4410999999,119.96,987323.2384000004
0,44.33,16956.401100000003,43.27,91479.13709999999
0,133.82,987704.0075999999,136.89,988685.8378999999
0,48.26,13074.572399999997,134.67,985331.4211000002
0,128.48,985279.2096,140.37,990795.8531000001
0,32.85,1941.8675000000005,34.61,2377.4578999999985
0,430.04,3817797.5384,430.04,3817797.5384
0,423.85,3821958.3875000007,424.4,3822357.5000000014
0,343.36,2890673.1703999983,48.22,24349.2916
0,229.98,1949274.5995999994,244.17,1961464.0810999996
0,527.92,4723040.5936,527.97,4723415.349100001
0,729.24,6471300.7824,724.24,6477312.262400001
0,433.53,3815537.3691000002,433.53,3815537.3691000002
0,132.94,985607.7764,151.96,1000120.1384000005
0,329.62,2893421.3555999994,331.79,2892604.685899999
0,426.74,3819629.9124000007,426.74,3819629.9124000007
0,134.7,986049.0099999999,131.45,985789.5074999998
0,234.03,1952048.1691,234.03,1952048.1691
0,140.48,985851.5695999999,140.48,985851.5695999999
0,429.92,3817556.6136000007,428.2,3819176.379999999
0,529.54,4721879.0484,533.16,4718616.4544
0,932.77,8133032.6971,935.32,8130101.277600002
0,537.99,4717043.569900001,532.28,4718527.661599997
0,330.22,2894252.8916000016,332.91,2893832.801900001
0,430.66,3816772.8043999993,430.66,3816772.8043999993
0,437.45,3812755.9274999984,430.88,3816615.605600001
0,438.87,3811945.553099999,438.87,3811945.553099999
0,33.05,1585.9475,35.04,2190.5984
0,636.34,5599671.0243999995,636.34,5599671.0243999995
0,237.93,1947555.4450999997,238.03,1948303.9690999999
0,327.37,2894957.7931,118.34,987916.2244
0,556.03,4714794.609099998,460.39,3805350.2979
0,626.5,5609091.99,628.04,5607877.378399999
0,325.18,2895649.0676000006,333.77,2891596.4570999998
0,336.96,2889495.7584,332.25,2891906.5075
0,334.88,2891625.125600001,329.51,2893856.5499
0,430.18,3817903.4276,31.03,3101.5290999999997
0,434.83,3814294.1811000006,139.83,988727.6610999994
0,432.91,3815122.1419000006,432.91,3815122.1419000006
0,134.94,989821.9563999999,133.9,984844.2100000003
0,329.79,2893810.365899999,326.09,2894957.6419
0,336.83,2889551.4011000004,33.4,4010.3800000000006
