,wild_mean,wild_var,mutant_mean,mutant_var
0,30.32,20482.1976,78.12,85635.24560000002
0,36.04,8139.3784,16.5,4304.37
0,43.69,19848.333899999998,30.34,6618.1244
0,30.07,7347.385099999999,15.17,419.22110000000015
0,48.41,27615.34190000001,32.39,7765.1979
0,39.88,14476.325600000006,18.3,1766.65
0,39.85,35088.1275,25.29,5276.865900000002
0,45.67,18790.801100000004,31.83,5025.9411
0,28.49,9001.589899999997,28.49,9001.589899999997
0,17.71,1795.2458999999994,17.71,1795.2458999999994
0,22.49,4626.2699,9.23,0.6771
0,52.07,25299.465099999994,22.65,4428.567500000001
0,33.4,9726.680000000002,18.42,2752.483599999999
0,32.77,7245.977100000002,37.51,14248.4699
0,44.57,18300.225099999992,37.9,9462.13
0,29.74,7812.512399999999,29.74,7812.512399999999
0,28.07,6624.765099999999,16.26,1898.4523999999997
0,53.12,20299.245600000002,21.29,2333.5858999999996
0,25.99,3618.729899999999,9.53,1.7891000000000004
0,43.48,19020.929599999996,30.29,6498.945900000002
0,30.11,7304.717899999998,8.44,3.1664000000000003
0,23.73,4174.997099999999,8.4,2.0399999999999996
0,35.31,8799.413900000001,36.72,7585.621599999998
0,36.82,15889.787599999996,36.82,15889.787599999996
0,33.5,12042.07,43.18,13754.207599999998
0,26.89,4671.057900000001,36.57,10977.105099999995
0,46.12,18273.925600000002,35.92,7935.093600000001
0,47.75,18405.2875,47.75,18405.2875
0,42.28,19918.501599999996,33.29,7714.225900000001
0,52.06,42449.376400000016,18.49,1653.8699
0,32.99,12015.029900000005,9.0,4.58
0,61.26,126258.6124,33.8,12725.74
0,31.17,10264.481099999999,22.47,2253.3491000000004
0,58.03,45455.46910000002,16.59,4844.5019
0,41.84,12451.854400000002,41.84,12451.854400000002
0,42.44,17032.7664,8.43,2.2851000000000004
0,36.27,11258.317100000004,20.23,3603.077100000001
0,39.36,14947.590399999997,22.7,1880.7300000000002
0,63.36,26736.6904,96.37,77919.07310000001
0,54.49,35424.369900000005,37.33,14317.241100000001
0,42.4,13312.760000000002,50.55,14873.287499999999
0,31.78,7232.971600000002,22.11,2654.1579
0,31.63,16937.9931,20.12,1141.5855999999997
0,70.39,37653.257900000004,10.64,26.930400000000006
0,46.28,31909.061599999997,41.86,18734.000400000008
0,33.86,10572.3804,34.96,4093.4583999999995
0,47.3,28535.73000000001,19.84,868.7543999999996
0,28.32,4953.437599999999,31.26,10726.612399999998
0,30.22,6450.2716,16.74,1686.5524000000005
0,83.51,64785.80989999999,66.47,36982.409100000004
0,26.4,4431.640000000002,46.25,26746.6675
0,27.15,10288.607500000002,25.34,5063.744399999997
0,36.12,10072.085599999997,9.46,2.4084
0,42.97,21481.329099999995,42.97,21481.329099999995
0,41.01,17949.749900000003,27.25,6031.7875
0,41.23,9865.397100000002,33.18,8205.9876
0,27.69,6569.953900000001,11.39,111.27789999999999
0,22.85,2841.7874999999995,20.6,2815.059999999998
0,35.11,13072.977899999998,49.72,24827.8416
0,30.98,21043.959599999995,17.41,1670.0618999999997
0,49.29,25504.405900000012,30.34,5156.1244
0,52.86,32743.060400000006,32.44,6051.866399999999
0,51.27,17037.277100000003,13.68,1336.3775999999991
0,36.54,11264.468400000002,18.46,685.5883999999999
0,18.08,1755.4336000000005,26.29,14804.105899999993
0,29.54,16354.648399999995,29.54,16354.648399999995
0,22.14,2308.9204,37.6,7205.279999999996
0,22.89,2647.8779000000013,19.14,1173.160400000001
0,30.21,3286.8259,29.48,2910.2096
0,34.07,7372.0851,34.07,7372.0851
0,44.58,12492.443600000004,30.57,4346.925100000001
0,46.32,16930.1776,23.64,2268.1904
0,26.11,4508.377900000001,26.11,4508.377900000001
0,41.81,6224.693900000001,9.65,2.4074999999999998
0,21.24,2635.242400000001,25.63,7317.733100000004
0,30.14,3269.7203999999997,30.14,3269.7203999999997
0,45.01,7186.729899999998,40.86,5449.880399999999
0,38.75,7719.7075,30.43,3179.9050999999995
0,33.87,5426.353099999997,46.68,4000.6175999999996
0,32.2,4900.460000000001,46.01,14644.1899
0,57.51,17137.7699,67.77,32162.25709999999
0,24.16,2722.1144000000004,24.16,2722.1144000000004
0,65.32,28877.15759999999,56.89,93913.97790000001
0,34.61,10995.3379,22.86,1349.7604000000001
0,54.45,21398.347499999996,39.41,7901.9419
0,21.13,1820.5931,17.91,1977.5418999999997
0,53.24,15953.862400000002,59.1,20893.230000000003
0,76.96,126884.29839999999,74.02,120303.33960000006
0,51.94,14950.916399999998,31.07,4643.725100000001
0,49.02,16693.1196,12.04,244.79840000000002
0,32.12,7124.105600000001,30.52,4266.809599999999
0,42.61,11607.717899999996,35.86,8321.000399999997
0,23.64,2727.8704,19.3,1200.95
0,29.64,8630.270400000003,21.57,7817.745100000003
0,40.72,11163.401599999997,34.23,13297.057100000004
0,45.52,20761.7096,31.86,4762.200400000001
0,40.17,15138.561099999997,20.86,1078.3003999999994
0,24.7,2300.21,45.43,22235.9451
0,49.71,24393.525899999993,11.62,412.1755999999999
0,62.26,27029.212399999997,9.48,1.2096000000000002
0,38.48,8749.889600000002,29.81,6131.273900000003
0,34.68,10174.097599999997,44.58,13110.943600000004
0,42.38,8208.0556,41.22,8166.611599999998
0,58.11,23810.63789999999,51.42,15372.583600000004
0,43.61,13721.997900000006,24.04,1500.2184
0,29.17,6781.241099999998,26.65,4451.2474999999995
0,34.13,6405.8531,29.25,5616.6675
0,22.43,3097.0851000000007,13.68,422.27759999999995
0,59.79,20347.0659,8.93,3.8050999999999995
0,50.9,19367.95,35.52,6751.8696
0,62.35,26406.90749999999,62.35,26406.90749999999
0,37.89,8265.057899999998,37.89,8265.057899999998
0,28.83,5893.741100000002,24.95,3263.0275
0,50.5,18474.39,34.58,8948.483600000003
0,46.69,17127.493899999998,9.43,1.3050999999999997
0,36.53,7931.229100000002,8.8,3.9600000000000004
0,39.93,9171.785100000001,38.43,8849.985099999998
0,42.92,13334.9536,30.43,6405.745099999999
0,31.59,5437.941900000001,26.55,4301.0475
0,33.66,9535.084400000002,32.31,6312.7939000000015
0,29.98,6101.199600000001,12.51,685.2498999999998
0,37.84,17988.594399999994,9.24,1.0223999999999998
0,25.44,3304.6064,8.32,0.9575999999999999
0,35.52,8489.0296,34.6,7259.919999999997
0,37.3,8220.549999999997,56.59,39655.0419
0,22.22,3254.851599999999,8.54,1.0684
0,30.71,5581.085900000002,21.33,3276.3611000000005
0,48.13,14137.533099999999,48.13,14137.533099999999
0,54.11,15805.037900000001,54.11,15805.037900000001
0,17.84,1808.7943999999998,17.84,1808.7943999999998
0,17.27,1032.3771,19.15,2054.6475000000005
0,29.85,4174.3675,36.21,6633.445900000001
0,45.04,19672.1784,45.04,19672.1784
0,59.56,26009.646399999998,59.56,26009.646399999998
0,72.85,36934.9075,73.74,42508.5924
0,37.01,7769.8099,37.01,7769.8099
0,32.34,9627.0244,40.98,11332.0796
0,62.5,68316.71,52.17,24578.321100000005
0,69.61,40967.95790000001,84.13,8390.7531
0,35.28,6549.721599999999,46.25,18069.4275
0,40.14,9194.0004,52.82,20830.407600000002
0,68.67,41853.10110000001,53.72,23587.3816
0,63.57,21264.0451,63.57,21264.0451
0,30.15,4278.507499999998,30.15,4278.507499999998
0,48.42,12735.8436,48.42,12735.8436
0,41.57,8370.505099999998,52.9,13380.15
0,44.28,19299.641600000003,46.41,18837.8019
0,49.36,14087.9904,48.03,18959.029100000003
0,35.16,7649.5344000000005,11.58,2.9036
0,50.14,20298.380400000005,82.84,5763.874399999998
0,78.64,8819.4304,98.36,11848.990399999999
0,85.82,7448.467600000001,45.32,9238.5376
0,74.76,4249.922400000001,74.88,2896.7856
0,87.87,8687.473100000001,98.1,4594.73
0,68.61,1238.5979,69.46,725.4284
0,80.65,3937.9275000000007,85.37,13333.633100000003
0,96.58,8052.6435999999985,93.5,25887.93
0,85.92,5196.833599999998,85.92,5196.833599999998
0,79.3,4679.910000000001,10.78,7.5315999999999965
0,100.29,10071.865900000003,100.29,10071.865900000003
0,89.4,11301.100000000002,50.15,3261.8675000000007
0,82.03,4295.489100000002,82.03,4295.489100000002
0,73.66,944.9243999999999,73.66,944.9243999999999
0,73.69,1748.7939,39.5,1880.73
0,68.48,1328.6895999999992,67.62,8849.595599999993
0,77.43,1939.6251000000002,48.24,4573.8823999999995
0,73.96,1483.6184,60.79,5467.225900000001
0,78.58,3800.0836,78.66,5445.4244
0,78.94,3207.316399999999,86.08,1539.5736000000004
0,92.77,42550.1571,10.48,1.7696000000000003
0,95.26,7656.752400000002,77.71,33064.66589999999
0,108.63,47627.113099999995,52.32,31469.277599999998
0,86.07,4326.265099999999,86.07,4326.265099999999
0,86.58,11837.6436,83.43,1780.3051000000005
0,91.15,6508.0275,74.83,3123.3410999999996
0,80.51,5227.2699,79.67,2581.0211
0,83.35,6168.047499999999,65.94,2137.6164000000003
0,76.06,2137.7564,76.06,2137.7564
0,75.98,2212.3395999999993,54.35,4467.187499999999
0,91.12,11590.505599999999,11.87,5.553100000000001
0,87.29,5860.825900000001,79.86,1943.7003999999997
0,97.14,12048.9604,97.14,12048.9604
0,71.7,859.3500000000003,100.71,14035.2059
0,102.99,14722.869899999998,51.14,2504.1004
0,106.41,21309.521899999996,106.41,21309.521899999996
0,78.16,4150.2944,87.92,8913.1536
